Element,Transition,Theory (eV),Unc (eV),Direct (eV),Unc. (eV)
Ne,KL1,817.69,0.56,,
Ne,KL2,849.09,0.54,848.61,0.26
Ne,KL3,849.17,0.54,848.61,0.26
Ne,KM1,,,857.89,0.44
Ne,KM2,,,857.89,0.44
Ne,KM3,,,857.89,0.44
Ne,KM4,,,857.89,0.44
Ne,KM5,,,857.89,0.44
Ne,K edge,870.73,0.16,866.9001,0.009
Ne,L1 edge,53.04,0.4,,
Ne,L2 edge,21.63,0.39,,
Ne,L3 edge,21.55,0.38,,
Na,KL1,1004.99,0.49,,
Na,KL2,1041.77,0.51,1040.98,0.12
Na,KL3,1041.94,0.51,1040.98,0.12
Na,KM1,1073.0,1.2,1071.12,0.27
Na,KM2,,,1071.12,0.27
Na,KM3,,,1071.12,0.27
Na,KM4,,,1071.12,0.27
Na,KM5,,,1071.12,0.27
Na,K edge,1080.15,0.15,1071.68,0.14
Na,L1M1,68.0,1.4,,
Na,L1 edge,75.16,0.35,,
Na,L2M1,31.3,1.4,,
Na,L2 edge,38.38,0.37,30.61,0.56
Na,L3M1,31.09,0.37,,
Na,L3 edge,38.21,0.37,30.61,0.56
Mg,KL1,1211.54,0.43,,
Mg,KL2,1254.14,0.49,1253.437,13.0
Mg,KL3,1254.39,0.49,1253.688,11.0
Mg,KM1,1303.5,1.2,1302.2,0.4
Mg,KM2,,,1302.2,0.4
Mg,KM3,,,1302.2,0.4
Mg,KM4,,,1302.2,0.4
Mg,KM5,,,1302.2,0.4
Mg,K edge,1312.3,0.14,1303.403,20.0
Mg,L1M1,92.0,1.4,,
Mg,L1 edge,100.75,0.29,62.839,47.0
Mg,L2M1,49.4,1.4,,
Mg,L2 edge,58.16,0.35,49.732,30.0
Mg,L3M1,49.14,0.36,,
Mg,L3 edge,57.9,0.35,49.454,29.0
Al,KL1,1438.94,0.38,,
Al,KL2,1487.12,0.47,1486.295,10.0
Al,KL3,1487.53,0.47,1486.708,10.0
Al,KM1,1556.63,0.98,1557.57,0.58
Al,KM2,1561.28,0.96,1557.57,0.58
Al,KM3,,,1557.57,0.58
Al,KM4,,,1557.57,0.58
Al,KM5,,,1557.57,0.58
Al,K edge,1569.56,0.13,1559.893,15.0
Al,L1M1,117.7,1.1,,
Al,L1M2,122.3,1.1,,
Al,L1 edge,130.62,0.25,87.005,90.0
Al,L2M1,69.5,1.2,,
Al,L2M2,74.2,1.2,,
Al,L2 edge,82.44,0.34,72.76,63.0
Al,L3M1,69.1,1.2,,
Al,L3M2,73.7,1.2,,
Al,L3 edge,82.03,0.34,72.76,63.0
Si,KL1,1686.54,0.33,,
Si,KL2,1739.67,0.47,1739.394,34.0
Si,KL3,1741.16,0.47,1739.985,19.0
Si,KM1,1834.97,0.84,1835.96,0.4
Si,KM2,1841.79,0.72,1835.96,0.4
Si,KM3,,,1835.96,0.4
Si,KM4,,,1835.96,0.4
Si,KM5,,,1835.96,0.4
Si,K edge,1850.26,0.13,1840.05,0.4
Si,L1M1,148.42,0.91,,
Si,L1M2,155.24,0.79,,
Si,L1 edge,163.72,0.2,,
Si,L2M1,95.3,1.1,,
Si,L2M2,102.11,0.93,,
Si,L2 edge,110.59,0.34,100.8,1.2
Si,L3M1,93.81,0.93,,
Si,L3M2,100.63,0.93,,
Si,L3 edge,109.1,0.34,100.8,1.2
P,KL1,1954.45,0.27,,
P,KL2,2013.14,0.45,2012.7,0.48
P,KL3,2014.73,0.44,2013.68,0.48
P,KM1,2136.1,1.0,2139.1,1.1
P,KM2,2143.79,0.58,2139.1,1.1
P,KM3,2140.82,1.0,2139.1,1.1
P,KM4,,,2139.1,1.1
P,KM5,,,2139.1,1.1
P,K edge,2154.24,0.12,2143.54,0.55
P,L1M1,181.7,1.0,,
P,L1M2,189.34,0.62,,
P,L1M3,186.4,1.0,,
P,L1 edge,199.79,0.16,,
P,L2M1,123.0,1.2,,
P,L2M2,130.65,0.79,,
P,L2M3,127.7,1.2,,
P,L2 edge,141.1,0.33,131.9,2.1
P,L3M1,121.41,0.78,,
P,L3M2,129.07,0.78,,
P,L3M3,126.1,1.2,,
P,L3 edge,139.51,0.32,131.9,2.1
S,KL1,2242.56,0.23,,
S,KL2,2307.01,0.45,2306.7,38.0
S,KL3,2308.8,0.44,2307.885,34.0
S,KM1,2460.1,1.1,,
S,KM2,2469.73,0.6,,
S,KM3,2467.53,0.72,2464.07,0.14
S,K edge,2481.71,0.12,2470.506,73.0
S,L1M1,217.5,1.1,,
S,L1M2,227.17,0.6,,
S,L1M3,224.96,0.72,,
S,L1 edge,239.15,0.11,,
S,L2M1,153.1,1.4,148.66,0.79
S,L2M2,162.72,0.81,,
S,L2M3,160.52,0.93,,
S,L2 edge,174.7,0.33,,
S,L3M1,151.29,0.8,148.66,0.79
S,L3M2,160.93,0.8,,
S,L3M3,158.73,0.92,,
S,L3 edge,172.91,0.32,,
Cl,KL1,2550.96,0.26,,
Cl,KL2,2621.27,0.44,2620.846,39.0
Cl,KL3,2623.67,0.43,2622.44,39.0
Cl,KM1,2807.0,1.3,2815.6,0.28
Cl,KM2,2819.04,0.64,2815.6,0.28
Cl,KM3,2817.58,0.49,2815.6,0.28
Cl,KM4,,,2815.6,0.28
Cl,KM5,,,2815.6,0.28
Cl,K edge,2832.76,0.12,2819.639,95.0
Cl,L1M1,256.0,1.3,,
Cl,L1M2,268.08,0.66,,
Cl,L1M3,266.62,0.52,,
Cl,L1 edge,281.8,0.15,,
Cl,L2M1,185.7,1.5,184.14,0.36
Cl,L2M2,197.77,0.84,,
Cl,L2M3,196.31,0.7,,
Cl,L2 edge,211.49,0.33,,
Cl,L3M1,183.31,0.83,182.6,0.36
Cl,L3M2,195.37,0.83,,
Cl,L3M3,193.91,0.69,,
Cl,L3 edge,209.09,0.31,,
Ar,KL1,2880.13,0.33,,
Ar,KL2,2955.89,0.43,2955.566,16.0
Ar,KL3,2957.9,0.42,2957.682,16.0
Ar,KM1,3177.4,1.5,,
Ar,KM2,3191.31,0.58,3190.49,0.24
Ar,KM3,3191.47,0.58,3190.49,0.24
Ar,K edge,3207.44,0.12,3202.933,61.0
Ar,L1M1,297.3,1.6,,
Ar,L1M2,311.18,0.69,,
Ar,L1M3,311.35,0.69,,
Ar,L1 edge,327.31,0.23,,
Ar,L2M1,221.5,1.7,221.79,0.59
Ar,L2M2,235.41,0.78,,
Ar,L2M3,235.58,0.78,,
Ar,L2 edge,251.55,0.32,,
Ar,L3M1,219.52,0.77,220.22,0.58
Ar,L3M2,233.4,0.77,,
Ar,L3M3,233.57,0.77,,
Ar,L3 edge,249.54,0.31,,
K,KL1,3229.98,0.32,,
K,KL2,3311.97,0.44,3311.1956,0.006
K,KL3,3314.6,0.42,3313.9476,0.005
K,KM1,3575.0,1.4,,
K,KM2,3591.78,0.72,3589.63,0.31
K,KM3,3591.49,0.61,3589.63,0.31
K,KM4,,,3602.78,0.62
K,KM5,,,3602.78,0.62
K,KN1,3611.14,0.17,,
K,K edge,3616.22,0.12,3607.81,0.16
K,L1M1,345.0,1.5,,
K,L1M2,361.81,0.82,,
K,L1M3,361.52,0.71,,
K,L1N1,381.16,0.27,,
K,L1 edge,386.25,0.22,,
K,L2M1,263.0,1.7,262.45,0.16
K,L2M2,279.81,0.93,,
K,L2M3,279.52,0.81,,
K,L2N1,299.17,0.38,,
K,L2 edge,304.25,0.33,294.5,1.0
K,L3M1,260.38,0.91,259.703,81.0
K,L3M2,277.18,0.91,,
K,L3M3,276.9,0.8,,
K,L3N1,296.54,0.36,,
K,L3 edge,301.62,0.31,294.5,1.0
Ca,KL1,3598.89,0.31,,
Ca,KL2,3687.56,0.43,3688.128,49.0
Ca,KL3,3690.98,0.41,3691.719,49.0
Ca,KM1,3993.8,1.4,,
Ca,KM2,4014.32,0.59,4012.76,0.38
Ca,KM3,4014.68,0.58,4012.76,0.38
Ca,KM4,,,4032.47,0.58
Ca,KM5,,,4032.47,0.58
Ca,KN1,4043.2,0.18,,
Ca,K edge,4049.35,0.12,4038.12,0.19
Ca,L1M1,394.9,1.5,,
Ca,L1M2,415.43,0.68,,
Ca,L1M3,415.8,0.67,,
Ca,L1N1,444.32,0.27,,
Ca,L1 edge,450.46,0.2,,
Ca,L2M1,306.2,1.6,306.43,0.22
Ca,L2M2,326.76,0.79,,
Ca,L2M3,327.12,0.78,,
Ca,L2M4,,,344.97,0.28
Ca,L2N1,355.64,0.39,,
Ca,L2 edge,361.79,0.32,352.92,0.15
Ca,L3M1,302.8,0.77,302.69,0.22
Ca,L3M2,323.34,0.77,,
Ca,L3M3,323.71,0.77,,
Ca,L3M4,,,341.27,0.28
Ca,L3M5,,,341.27,0.28
Ca,L3N1,352.23,0.37,,
Ca,L3 edge,358.37,0.3,349.34,0.15
Sc,KL1,3991.57,0.39,,
Sc,KL2,4085.43,0.44,4085.9526,0.0085
Sc,KL3,4090.15,0.42,4090.735,19.0
Sc,KM1,4438.8,1.5,,
Sc,KM2,4461.16,0.8,4460.44,0.47
Sc,KM3,4462.93,0.8,4460.44,0.47
Sc,KM4,4490.79,0.41,4486.59,0.72
Sc,KM5,,,4486.59,0.72
Sc,KN1,4495.16,0.18,,
Sc,K edge,4501.68,0.12,4488.9,2.4
Sc,L1M1,447.3,1.7,,
Sc,L1M2,469.59,0.98,,
Sc,L1M3,471.36,0.97,,
Sc,L1M4,499.22,0.59,,
Sc,L1N1,503.6,0.36,,
Sc,L1 edge,510.11,0.29,,
Sc,L2M1,353.4,1.7,352.92,0.3
Sc,L2M2,375.7,1.0,,
Sc,L2M3,377.5,1.0,,
Sc,L2M4,405.35,0.62,399.69,0.38
Sc,L2N1,409.73,0.4,,
Sc,L2 edge,416.25,0.33,,
Sc,L3M1,348.7,0.99,348.36,0.43
Sc,L3M2,371.01,0.99,,
Sc,L3M3,372.78,0.99,,
Sc,L3M4,400.64,0.6,395.48,0.56
Sc,L3M5,,,395.48,0.56
Sc,L3N1,405.01,0.37,,
Sc,L3 edge,411.53,0.31,,
Ti,KL1,4404.59,0.43,,
Ti,KL2,4504.07,0.44,4504.9201,0.0094
Ti,KL3,4510.38,0.42,4510.8991,0.0094
Ti,KM1,4907.1,1.5,,
Ti,KM2,4930.86,0.85,4931.827,59.0
Ti,KM3,4934.46,0.87,4931.827,59.0
Ti,KM4,4965.95,0.43,4962.27,0.59
Ti,KM5,,,4962.27,0.59
Ti,KN1,4971.09,0.18,,
Ti,K edge,4977.92,0.12,4964.58,0.15
Ti,L1M1,502.5,1.8,,
Ti,L1M2,526.3,1.1,,
Ti,L1M3,529.9,1.1,,
Ti,L1M4,561.36,0.64,,
Ti,L1N1,566.5,0.4,,
Ti,L1 edge,573.33,0.33,,
Ti,L2M1,403.0,1.8,401.37,0.58
Ti,L2M2,426.8,1.1,,
Ti,L2M3,430.4,1.1,,
Ti,L2M4,461.88,0.64,458.35,0.5
Ti,L2N1,467.03,0.4,,
Ti,L2 edge,473.85,0.33,454.31,0.25
Ti,L3M1,396.7,1.0,395.35,0.37
Ti,L3M2,420.5,1.0,,
Ti,L3M3,424.1,1.1,,
Ti,L3M4,455.57,0.61,452.16,0.49
Ti,L3M5,,,452.16,0.49
Ti,L3N1,460.72,0.37,,
Ti,L3 edge,467.55,0.31,454.31,0.25
V,KL1,4838.5,0.47,,
V,KL2,4943.59,0.45,4944.671,59.0
V,KL3,4951.79,0.42,4952.216,59.0
V,KM1,5399.3,1.5,,
V,KM2,5424.42,0.89,5427.32,71.0
V,KM3,5430.0,0.94,5427.32,71.0
V,KM4,5465.33,0.44,5462.96,0.21
V,KM5,,,5462.96,0.21
V,KN1,5471.17,0.19,,
V,K edge,5478.28,0.12,5463.757,50.0
V,L1M1,560.8,1.8,,
V,L1M2,585.9,1.1,585.1,3.7
V,L1M3,591.5,1.2,585.1,3.7
V,L1M4,626.83,0.69,,
V,L1N1,632.67,0.44,,
V,L1 edge,639.78,0.37,,
V,L2M1,455.7,1.8,453.48,0.74
V,L2M2,480.8,1.1,,
V,L2M3,486.4,1.2,,
V,L2M4,521.74,0.65,519.2,1.3
V,L2N1,527.58,0.4,,
V,L2 edge,534.69,0.33,,
V,L3M1,447.5,1.1,446.46,0.24
V,L3M2,472.6,1.1,,
V,L3M3,478.2,1.1,,
V,L3M4,513.54,0.63,511.27,0.94
V,L3M5,,,511.27,0.94
V,L3N1,519.38,0.38,,
V,L3 edge,526.5,0.31,,
Cr,KL1,5293.35,0.5,,
Cr,KL2,5404.06,0.45,5405.5384,0.0071
Cr,KL3,5413.88,0.42,5414.8045,0.0071
Cr,KM1,5914.2,1.5,,
Cr,KM2,5940.74,0.92,5946.823,11.0
Cr,KM3,5947.1,1.0,5946.823,11.0
Cr,KM4,5986.82,0.46,5986.97,0.26
Cr,KM5,5990.83,0.12,5986.97,0.26
Cr,KN1,5989.03,0.19,,
Cr,K edge,5995.66,0.12,5989.017,40.0
Cr,L1M1,620.9,1.8,,
Cr,L1M2,647.4,1.2,653.9,1.0
Cr,L1M3,653.8,1.3,653.9,1.0
Cr,L1M4,693.47,0.74,,
Cr,L1M5,697.48,0.4,,
Cr,L1N1,695.68,0.47,,
Cr,L1 edge,702.31,0.4,742.4,6.6
Cr,L2M1,510.2,1.8,510.22,0.93
Cr,L2M2,536.7,1.1,,
Cr,L2M3,543.0,1.2,,
Cr,L2M4,582.76,0.67,582.9,0.41
Cr,L2M5,586.76,0.33,,
Cr,L2N1,584.96,0.41,,
Cr,L2 edge,591.6,0.33,692.6,5.7
Cr,L3M1,500.3,1.1,500.33,0.3
Cr,L3M2,526.9,1.1,,
Cr,L3M3,533.2,1.2,,
Cr,L3M4,572.94,0.64,572.9,1.2
Cr,L3M5,576.95,0.3,572.9,1.2
Cr,L3N1,575.15,0.38,,
Cr,L3 edge,581.78,0.3,598.9,4.3
Mn,KL1,5769.18,0.54,,
Mn,KL2,5886.2,0.45,5887.6859,0.0084
Mn,KL3,5898.1,0.42,5898.801,0.0084
Mn,KM1,6455.7,1.5,,
Mn,KM2,6485.39,0.96,6490.585,14.0
Mn,KM3,6492.7,1.0,6490.585,14.0
Mn,KM4,6537.52,0.48,6535.36,0.51
Mn,KM5,6538.54,0.51,6535.36,0.51
Mn,KN1,6544.46,0.2,,
Mn,K edge,6552.12,0.12,6537.667,20.0
Mn,L1M1,686.5,1.8,,
Mn,L1M2,716.2,1.3,721.2,1.2
Mn,L1M3,723.5,1.4,721.2,1.2
Mn,L1M4,768.34,0.8,,
Mn,L1M5,769.36,0.82,,
Mn,L1N1,775.27,0.51,,
Mn,L1 edge,782.94,0.44,,
Mn,L2M1,569.5,1.7,567.42,0.77
Mn,L2M2,599.2,1.2,,
Mn,L2M3,606.5,1.3,,
Mn,L2M4,651.32,0.69,648.8,1.0
Mn,L2M5,652.34,0.72,,
Mn,L2N1,658.26,0.41,,
Mn,L2 edge,665.92,0.33,,
Mn,L3M1,557.6,1.1,556.22,0.37
Mn,L3M2,587.3,1.1,,
Mn,L3M3,594.6,1.2,,
Mn,L3M4,639.42,0.66,637.44,0.49
Mn,L3M5,640.44,0.69,637.44,0.49
Mn,L3N1,646.36,0.38,,
Mn,L3 edge,654.02,0.31,,
Fe,KL1,6266.07,0.58,,
Fe,KL2,6389.51,0.46,6391.0264,0.0099
Fe,KL3,6403.13,0.43,6404.0062,0.0099
Fe,KM1,7020.2,1.5,,
Fe,KM2,7053.23,1.0,7058.175,16.0
Fe,KM3,7059.9,1.1,7058.175,16.0
Fe,KM4,7110.59,0.5,7108.26,0.6
Fe,KM5,7111.5,0.52,7108.26,0.6
Fe,KN1,7117.93,0.2,,
Fe,K edge,7125.87,0.13,7110.747,20.0
Fe,L1M1,754.1,1.8,,
Fe,L1M2,787.2,1.3,792.2,1.5
Fe,L1M3,793.8,1.4,792.2,1.5
Fe,L1M4,844.52,0.85,,
Fe,L1M5,845.44,0.87,,
Fe,L1N1,851.86,0.55,,
Fe,L1 edge,859.8,0.48,,
Fe,L2M1,630.6,1.7,627.8,1.9
Fe,L2M2,663.7,1.2,,
Fe,L2M3,670.4,1.3,,
Fe,L2M4,721.07,0.7,718.32,0.62
Fe,L2M5,721.99,0.73,,
Fe,L2N1,728.41,0.41,,
Fe,L2 edge,736.35,0.34,720.74,0.31
Fe,L3M1,617.0,1.2,615.3,0.45
Fe,L3M2,650.1,1.2,,
Fe,L3M3,656.8,1.3,,
Fe,L3M4,707.46,0.67,704.8,1.2
Fe,L3M5,708.38,0.7,704.8,1.2
Fe,L3N1,714.8,0.38,,
Fe,L3 edge,722.74,0.31,707.46,0.3
Co,KL1,6784.08,0.61,,
Co,KL2,6914.08,0.47,6915.538,0.0039
Co,KL3,6929.63,0.43,6930.378,0.0039
Co,KM1,7609.0,1.5,,
Co,KM2,7645.5,1.0,7649.445,14.0
Co,KM3,7651.5,1.1,7649.445,14.0
Co,KM4,7708.35,0.52,7705.98,0.21
Co,KM5,7709.15,0.54,7705.98,0.21
Co,KN1,7716.05,0.21,,
Co,K edge,7724.26,0.13,7708.776,20.0
Co,L1M1,824.9,1.9,,
Co,L1M2,861.4,1.4,866.4,2.7
Co,L1M3,867.4,1.5,866.4,2.7
Co,L1M4,924.27,0.9,,
Co,L1M5,925.07,0.92,,
Co,L1N1,931.97,0.59,,
Co,L1 edge,940.18,0.51,,
Co,L2M1,694.9,1.7,693.8,1.7
Co,L2M2,731.5,1.2,,
Co,L2M3,737.4,1.3,,
Co,L2M4,794.27,0.72,791.41,0.6
Co,L2M5,795.08,0.74,,
Co,L2N1,801.98,0.42,,
Co,L2 edge,810.18,0.34,793.84,0.38
Co,L3M1,679.3,1.2,677.8,0.44
Co,L3M2,715.9,1.2,,
Co,L3M3,721.9,1.3,,
Co,L3M4,778.71,0.69,776.25,0.43
Co,L3M5,779.52,0.71,776.25,0.43
Co,L3N1,786.42,0.39,,
Co,L3 edge,794.62,0.31,779.03,0.36
Ni,KL1,7323.29,0.65,,
Ni,KL2,7459.96,0.47,7461.0343,0.0045
Ni,KL3,7477.72,0.44,7478.2521,0.0045
Ni,KM1,8222.2,1.4,,
Ni,KM2,8262.4,1.1,8264.775,17.0
Ni,KM3,8267.6,1.1,8264.775,17.0
Ni,KM4,8330.91,0.54,8328.68,0.33
Ni,KM5,8331.59,0.56,8328.68,0.33
Ni,KN1,8338.94,0.22,,
Ni,K edge,8347.42,0.14,8331.486,20.0
Ni,L1M1,898.9,1.9,,
Ni,L1M2,939.1,1.5,940.7,1.1
Ni,L1M3,944.3,1.6,940.7,1.1
Ni,L1M4,1007.62,0.95,,
Ni,L1M5,1008.3,0.97,,
Ni,L1N1,1015.65,0.63,,
Ni,L1 edge,1024.13,0.55,,
Ni,L2M1,762.2,1.7,762.0,2.1
Ni,L2M2,802.4,1.3,,
Ni,L2M3,807.6,1.3,,
Ni,L2M4,870.95,0.74,868.77,0.54
Ni,L2M5,871.63,0.76,,
Ni,L2N1,878.98,0.42,,
Ni,L2 edge,887.46,0.34,870.54,0.45
Ni,L3M1,744.5,1.2,742.72,0.59
Ni,L3M2,784.7,1.2,,
Ni,L3M3,789.9,1.3,,
Ni,L3M4,853.19,0.71,851.47,0.26
Ni,L3M5,853.87,0.72,851.47,0.26
Ni,L3N1,861.23,0.39,,
Ni,L3 edge,869.7,0.31,853.58,0.43
Cu,KL1,7884.83,0.68,,
Cu,KL2,8028.38,0.48,8027.8416,0.0026
Cu,KL3,8048.11,0.45,8047.8227,0.0026
Cu,KM1,8859.8,1.4,,
Cu,KM2,8904.0,1.1,8905.413,38.0
Cu,KM3,8906.9,1.2,8905.413,38.0
Cu,KM4,8977.49,0.56,8977.14,0.29
Cu,KM5,8977.82,0.58,8977.14,0.29
Cu,KN1,8980.22,0.23,,
Cu,K edge,8987.96,0.15,8980.476,20.0
Cu,L1M1,975.0,1.8,,
Cu,L1M2,1019.1,1.5,1022.79,1.0
Cu,L1M3,1022.0,1.6,1022.79,1.0
Cu,L1M4,1092.7,1.0,,
Cu,L1M5,1093.0,1.0,,
Cu,L1N1,1095.39,0.67,,
Cu,L1 edge,1103.12,0.59,,
Cu,L2M1,831.4,1.6,832.1,1.7
Cu,L2M2,875.6,1.3,,
Cu,L2M3,878.5,1.4,,
Cu,L2M4,949.11,0.76,949.84,0.32
Cu,L2M5,949.44,0.77,,
Cu,L2N1,951.84,0.43,,
Cu,L2 edge,959.58,0.34,952.68,0.11
Cu,L3M1,811.7,1.3,811.08,0.71
Cu,L3M2,855.8,1.3,,
Cu,L3M3,858.8,1.3,,
Cu,L3M4,929.38,0.72,929.68,0.31
Cu,L3M5,929.71,0.74,929.68,0.31
Cu,L3N1,932.11,0.39,,
Cu,L3 edge,939.85,0.31,933.04,0.1
Zn,KL1,8465.23,0.68,,
Zn,KL2,8616.22,0.5,8615.823,73.0
Zn,KL3,8639.1,0.45,8638.906,73.0
Zn,KM1,9522.7,1.4,,
Zn,KM2,9570.8,1.2,9572.03,0.22
Zn,KM3,9573.6,1.2,9572.03,0.22
Zn,KM4,9650.97,0.59,9649.9,1.1
Zn,KM5,9651.31,0.59,9649.9,1.1
Zn,KN1,9659.54,0.23,,
Zn,KN2,,,9658.05,0.22
Zn,KN3,,,9658.05,0.22
Zn,K edge,9668.55,0.15,9660.755,30.0
Zn,L1M1,1057.5,1.9,,
Zn,L1M2,1105.6,1.7,1107.0,1.0
Zn,L1M3,1108.4,1.6,1107.0,1.0
Zn,L1M4,1185.7,1.0,,
Zn,L1M5,1186.1,1.0,,
Zn,L1N1,1194.31,0.66,,
Zn,L1 edge,1203.31,0.58,949.3,1.1
Zn,L2M1,906.5,1.7,906.3,2.0
Zn,L2M2,954.6,1.4,,
Zn,L2M3,957.4,1.4,,
Zn,L2M4,1034.76,0.8,1034.65,0.38
Zn,L2M5,1035.1,0.8,,
Zn,L2N1,1043.33,0.45,,
Zn,L2 edge,1052.33,0.36,1045.21,0.13
Zn,L3M1,883.6,1.4,884.3,1.9
Zn,L3M2,931.7,1.4,,
Zn,L3M3,934.5,1.3,,
Zn,L3M4,1011.87,0.75,1011.77,0.37
Zn,L3M5,1012.21,0.75,1011.77,0.37
Zn,L3N1,1020.44,0.4,,
Zn,L3 edge,1029.45,0.31,1022.03,0.12
Ga,KL1,9067.89,0.75,,
Ga,KL2,9225.1,0.49,9224.835,27.0
Ga,KL3,9251.89,0.45,9251.674,66.0
Ga,KM1,10210.4,1.3,,
Ga,KM2,10261.8,1.1,10260.28,0.64
Ga,KM3,10265.8,1.2,10264.19,0.29
Ga,KM4,10349.92,0.6,10348.2,2.6
Ga,KM5,10350.49,0.61,10348.2,2.6
Ga,KN1,10365.69,0.34,,
Ga,KN2,10370.5,0.21,10366.42,0.26
Ga,KN3,,,10366.42,0.26
Ga,K edge,10377.76,0.16,10368.1,1.3
Ga,L1M1,1142.5,1.8,,
Ga,L1M2,1193.9,1.6,1196.9,1.4
Ga,L1M3,1197.9,1.7,1196.9,1.4
Ga,L1M4,1282.0,1.1,,
Ga,L1M5,1282.6,1.1,,
Ga,L1N1,1297.8,0.83,,
Ga,L1N2,1302.61,0.7,,
Ga,L1 edge,1309.87,0.65,1302.7,1.0
Ga,L2M1,985.3,1.6,984.22,0.23
Ga,L2M2,1036.7,1.3,,
Ga,L2M3,1040.7,1.4,,
Ga,L2M4,1124.82,0.79,1124.76,0.3
Ga,L2M5,1125.39,0.8,,
Ga,L2N1,1140.59,0.54,,
Ga,L2N2,1145.4,0.4,,
Ga,L2 edge,1152.66,0.35,1145.02,0.78
Ga,L3M1,958.5,1.3,957.17,0.22
Ga,L3M2,1009.9,1.3,,
Ga,L3M3,1013.9,1.3,,
Ga,L3M4,1098.03,0.75,1097.97,0.14
Ga,L3M5,1098.59,0.76,1097.97,0.14
Ga,L3N1,1113.79,0.49,,
Ga,L3N2,1118.61,0.36,,
Ga,L3 edge,1125.86,0.31,1116.96,0.15
Ge,KL1,9692.08,0.84,,
Ge,KL2,9855.67,0.51,9855.42,0.1
Ge,KL3,9886.67,0.46,9886.52,0.11
Ge,KM1,10924.0,1.3,,
Ge,KM2,10979.4,1.3,10978.1,1.3
Ge,KM3,10984.0,1.3,10982.19,0.29
Ge,KM4,11074.59,0.63,11074.8,1.5
Ge,KM5,11075.33,0.63,11074.8,1.5
Ge,KN1,11098.72,0.52,,
Ge,KN2,11105.84,0.37,11100.97,0.29
Ge,KN3,,,11100.97,0.29
Ge,K edge,11113.82,0.16,11103.76,0.74
Ge,L1M1,1231.9,1.9,,
Ge,L1M2,1287.3,1.9,1286.12,0.39
Ge,L1M3,1292.0,1.8,1294.04,0.4
Ge,L1M4,1382.5,1.2,,
Ge,L1M5,1383.2,1.2,,
Ge,L1N1,1406.6,1.1,,
Ge,L1N2,1413.76,0.93,,
Ge,L1 edge,1421.74,0.73,1413.23,0.24
Ge,L2M1,1068.3,1.5,1067.98,0.27
Ge,L2M2,1123.7,1.5,,
Ge,L2M3,1128.4,1.5,,
Ge,L2M4,1218.91,0.82,1218.5,0.18
Ge,L2M5,1219.65,0.83,,
Ge,L2N1,1243.05,0.72,,
Ge,L2N2,1250.17,0.56,,
Ge,L2 edge,1258.15,0.35,1249.32,0.19
Ge,L3M1,1037.3,1.4,1036.21,0.51
Ge,L3M2,1092.7,1.4,,
Ge,L3M3,1097.4,1.4,,
Ge,L3M4,1187.91,0.78,1188.01,0.13
Ge,L3M5,1188.66,0.78,1188.01,0.13
Ge,L3N1,1212.05,0.67,,
Ge,L3N2,1219.17,0.51,,
Ge,L3 edge,1227.15,0.31,1217.06,0.18
As,KL1,10336.7,0.82,,
As,KL2,10507.84,0.51,10507.5,0.15
As,KL3,10543.48,0.47,10543.2674,0.0081
As,KM1,11663.0,1.3,,
As,KM2,11721.6,1.2,11719.86,0.84
As,KM3,11727.1,1.2,11725.73,0.37
As,KM4,11825.05,0.64,11821.4,1.7
As,KM5,11825.89,0.65,11821.4,1.7
As,KN1,11858.67,0.77,,
As,KN2,11867.94,0.64,11864.34,0.5
As,KN3,11866.38,0.23,11864.34,0.5
As,K edge,11876.74,0.18,11864.3,1.7
As,L1M1,1326.3,1.8,,
As,L1M2,1384.9,1.7,1388.54,0.23
As,L1M3,1390.4,1.7,1388.54,0.23
As,L1M4,1488.3,1.2,,
As,L1M5,1489.2,1.2,,
As,L1N1,1522.0,1.3,,
As,L1N2,1531.2,1.2,,
As,L1N3,1529.68,0.76,,
As,L1 edge,1540.04,0.7,1529.32,0.28
As,L2M1,1155.2,1.5,1155.04,0.16
As,L2M2,1213.8,1.4,,
As,L2M3,1219.3,1.4,,
As,L2M4,1317.21,0.82,1316.99,0.17
As,L2M5,1318.06,0.82,,
As,L2N1,1350.84,0.95,,
As,L2N2,1360.1,0.82,,
As,L2N3,1358.54,0.41,,
As,L2 edge,1368.9,0.35,1358.71,0.22
As,L3M1,1119.5,1.3,1119.78,0.15
As,L3M2,1178.1,1.3,,
As,L3M3,1183.7,1.3,,
As,L3M4,1281.56,0.79,1282.01,0.16
As,L3M5,1282.41,0.79,1282.01,0.16
As,L3N1,1315.19,0.91,,
As,L3N2,1324.46,0.78,,
As,L3N3,1322.9,0.37,,
As,L3 edge,1333.26,0.31,1323.61,0.21
Se,KL1,11003.49,0.84,,
Se,KL2,11181.82,0.52,11181.53,0.31
Se,KL3,11222.55,0.48,11222.52,0.12
Se,KM1,12427.9,1.3,,
Se,KM2,12490.3,1.2,12489.73,1.0
Se,KM3,12496.5,1.2,12496.03,0.67
Se,KM4,12601.47,0.68,12596.0,1.9
Se,KM5,12602.42,0.67,12596.0,1.9
Se,KN1,12645.7,1.1,,
Se,KN2,12656.38,0.73,12652.29,0.96
Se,KN3,12655.11,0.33,12652.29,0.96
Se,K edge,12666.72,0.19,12654.61,0.19
Se,L1M1,1424.4,1.8,,
Se,L1M2,1486.8,1.8,1490.0,2.4
